id,store,date,product name,weekly_sales,inventory level,temperature,past promotion of product in lac,demand forecast
328,4,2010-11-19,Aromatherapy essential oil diffuser,372545.32,0,57.72,2.771,7.564
329,5,2010-11-26,Resistance band set,565567.84,1,68.71,2.735,7.564
330,2,2010-12-03,Ceramic plant pot with saucer,476420.77,0,53.76,2.708,7.564
331,3,2010-12-10,Insulated lunch box,467642.03,0,51.13,2.843,7.564
332,2,2010-12-17,Himalayan salt lamp,498159.39,0,52.2,2.869,7.564
333,1,2010-12-24,Reusable silicone food storage bags,605990.41,0,57.16,2.886,7.564
334,4,2010-12-31,Handwoven rattan basket,382677.76,1,53.2,2.943,7.564
335,5,2011-01-07,Yoga mat with carrying strap,378241.34,0,53.35,2.976,7.551
336,2,2011-01-14,Stainless steel french press coffee maker,381061.1,0,44.76,2.983,7.551
337,3,2011-01-21,Memory foam travel neck pillow,350876.7,0,50.74,3.016,7.551
338,1,2011-01-28,Glass meal prep containers set,364866.24,0,48.71,3.01,7.551
339,4,2011-02-04,Vegan leather wallet,438516.53,0,45.95,2.989,7.551
340,5,2011-02-11,LED desk lamp with USB charging port,430526.21,1,43.57,3.022,7.551
341,2,2011-02-18,Blueberry scented candle,432782.1,0,61.58,3.045,7.551
342,3,2011-02-25,Stainless steel water bottle,397211.19,0,67.4,3.065,7.551
343,2,2011-03-04,Leather messenger bag,437084.51,0,65.11,3.288,7.551
344,1,2011-03-11,Organic coconut oil,404753.3,0,61.29,3.459,7.551
345,4,2011-03-18,Bluetooth wireless earbuds,392109.51,0,69.47,3.488,7.551
346,5,2011-03-25,Floral patterned throw pillow,380683.67,0,72.94,3.473,7.551
347,2,2011-04-01,Bamboo cutting board set,374556.08,0,68.76,3.524,7.574
348,3,2011-04-08,Aromatherapy essential oil diffuser,384075.31,0,72.55,3.622,7.574
349,1,2011-04-15,Resistance band set,366250.69,0,75.88,3.743,7.574
350,4,2011-04-22,Ceramic plant pot with saucer,391860.04,0,76.91,3.807,7.574
351,5,2011-04-29,Insulated lunch box,367405.4,0,78.69,3.81,7.574
352,2,2011-05-06,Himalayan salt lamp,413042.12,0,69.45,3.906,7.574
353,3,2011-05-13,Reusable silicone food storage bags,386312.68,0,79.87,3.899,7.574
354,2,2011-05-20,Handwoven rattan basket,364603.13,0,75.79,3.907,7.574
355,1,2011-05-27,Yoga mat with carrying strap,369350.6,0,84.41,3.786,7.574
356,4,2011-06-03,Stainless steel french press coffee maker,394507.84,0,84.29,3.699,7.574
357,5,2011-06-10,Memory foam travel neck pillow,391638.75,0,84.84,3.648,7.574
358,2,2011-06-17,Glass meal prep containers set,403423.34,0,86.96,3.637,7.574
359,3,2011-06-24,Vegan leather wallet,385520.71,0,84.94,3.594,7.574
360,1,2011-07-01,LED desk lamp with USB charging port,368962.72,0,85.1,3.524,7.567
361,4,2011-07-08,Blueberry scented candle,395146.24,0,85.38,3.48,7.567
362,5,2011-07-15,Stainless steel water bottle,373454.33,0,87.14,3.575,7.567
363,2,2011-07-22,Leather messenger bag,360617.37,0,86.19,3.651,7.567
364,3,2011-07-29,Organic coconut oil,345381.29,0,88.07,3.682,7.567
365,2,2011-08-05,Bluetooth wireless earbuds,409981.25,0,88.45,3.684,7.567
366,1,2011-08-12,Floral patterned throw pillow,380376.85,0,88.88,3.638,7.567
367,4,2011-08-19,Bamboo cutting board set,379716.91,0,88.44,3.554,7.567
368,5,2011-08-26,Aromatherapy essential oil diffuser,366367.55,0,87.67,3.523,7.567
369,2,2011-09-02,Resistance band set,375988.69,0,89.12,3.533,7.567
370,3,2011-09-09,Ceramic plant pot with saucer,377347.49,1,81.72,3.546,7.567
371,1,2011-09-16,Insulated lunch box,375629.51,0,83.63,3.526,7.567
372,4,2011-09-23,Himalayan salt lamp,365248.94,0,80.19,3.467,7.567
373,5,2011-09-30,Reusable silicone food storage bags,368477.93,0,82.58,3.355,7.567
374,2,2011-10-07,Handwoven rattan basket,403342.4,0,75.54,3.285,7.197
375,3,2011-10-14,Yoga mat with carrying strap,368282.57,0,73.75,3.274,7.197
376,2,2011-10-21,Stainless steel french press coffee maker,394976.36,0,69.03,3.353,7.197
377,1,2011-10-28,Memory foam travel neck pillow,389540.62,0,71.04,3.372,7.197
378,4,2011-11-04,Glass meal prep containers set,459443.22,0,59.31,3.332,7.197
379,5,2011-11-11,Vegan leather wallet,407764.25,0,61.7,3.297,7.197
380,2,2011-11-18,LED desk lamp with USB charging port,398838.97,0,63.91,3.308,7.197
381,3,2011-11-25,Blueberry scented candle,556925.19,1,68.0,3.236,7.197
382,1,2011-12-02,Stainless steel water bottle,472511.32,0,54.97,3.172,7.197
383,4,2011-12-09,Leather messenger bag,468772.8,0,49.26,3.158,7.197
384,5,2011-12-16,Organic coconut oil,510747.62,0,57.95,3.159,7.197
385,2,2011-12-23,Bluetooth wireless earbuds,551221.21,0,53.41,3.112,7.197
386,3,2011-12-30,Floral patterned throw pillow,410553.88,1,48.29,3.129,7.197
387,2,2012-01-06,Bamboo cutting board set,398178.21,0,52.42,3.157,6.833
388,1,2012-01-13,Aromatherapy essential oil diffuser,367438.62,0,51.86,3.261,6.833
389,4,2012-01-20,Resistance band set,365818.61,0,56.2,3.268,6.833
390,5,2012-01-27,Ceramic plant pot with saucer,349518.1,0,58.06,3.29,6.833
391,2,2012-02-03,Insulated lunch box,424960.66,0,59.33,3.36,6.833
392,3,2012-02-10,Himalayan salt lamp,473292.47,1,51.65,3.409,6.833
393,1,2012-02-17,Reusable silicone food storage bags,475591.08,0,52.39,3.51,6.833
394,4,2012-02-24,Handwoven rattan basket,418925.47,0,60.12,3.555,6.833
395,5,2012-03-02,Yoga mat with carrying strap,469752.56,0,61.65,3.63,6.833
396,2,2012-03-09,Stainless steel french press coffee maker,445162.05,0,60.71,3.669,6.833
397,3,2012-03-16,Memory foam travel neck pillow,411775.8,0,64.0,3.734,6.833
398,2,2012-03-23,Glass meal prep containers set,413907.25,0,66.53,3.787,6.833
399,1,2012-03-30,Vegan leather wallet,407488.84,0,69.36,3.845,6.833
400,4,2012-04-06,LED desk lamp with USB charging port,503232.13,0,73.01,3.891,6.664
401,5,2012-04-13,Blueberry scented candle,420789.74,0,72.83,3.891,6.664
402,2,2012-04-20,Stainless steel water bottle,434822.13,0,72.05,3.877,6.664
403,3,2012-04-27,Leather messenger bag,394616.11,0,73.39,3.814,6.664
404,1,2012-05-04,Organic coconut oil,439913.57,0,79.51,3.749,6.664
405,4,2012-05-11,Bluetooth wireless earbuds,431985.36,0,75.19,3.688,6.664
406,5,2012-05-18,Floral patterned throw pillow,418112.76,0,72.38,3.63,6.664
407,2,2012-05-25,Bamboo cutting board set,413701.29,0,78.58,3.561,6.664
408,3,2012-06-01,Aromatherapy essential oil diffuser,432268.53,0,81.55,3.501,6.664
409,2,2012-06-08,Resistance band set,446336.8,0,81.65,3.452,6.664
410,1,2012-06-15,Ceramic plant pot with saucer,442074.79,0,84.66,3.393,6.664
411,4,2012-06-22,Insulated lunch box,419497.95,0,82.7,3.346,6.664
412,5,2012-06-29,Himalayan salt lamp,422965.33,0,86.42,3.286,6.664
413,2,2012-07-06,Reusable silicone food storage bags,411206.5,0,83.14,3.227,6.334
414,3,2012-07-13,Handwoven rattan basket,416913.1,0,82.28,3.256,6.334
415,1,2012-07-20,Yoga mat with carrying strap,432424.85,0,81.38,3.311,6.334
416,4,2012-07-27,Stainless steel french press coffee maker,389427.9,0,84.94,3.407,6.334
417,5,2012-08-03,Memory foam travel neck pillow,419990.29,0,86.55,3.417,6.334
418,2,2012-08-10,Glass meal prep containers set,391811.6,0,85.85,3.494,6.334
419,3,2012-08-17,Vegan leather wallet,394918.83,0,87.36,3.571,6.334
420,2,2012-08-24,LED desk lamp with USB charging port,412449.67,0,83.01,3.62,6.334
421,1,2012-08-31,Blueberry scented candle,408838.73,0,85.18,3.638,6.334
422,4,2012-09-07,Stainless steel water bottle,408229.73,1,84.99,3.73,6.334
423,5,2012-09-14,Leather messenger bag,407589.16,0,78.36,3.717,6.334
424,2,2012-09-21,Organic coconut oil,414392.09,0,72.78,3.721,6.334
425,3,2012-09-28,Bluetooth wireless earbuds,389813.02,0,77.46,3.666,6.334
426,2,2012-10-05,Floral patterned throw pillow,443557.65,0,72.74,3.617,6.034
427,1,2012-10-12,Bamboo cutting board set,410804.39,0,70.31,3.601,6.034
428,4,2012-10-19,Aromatherapy essential oil diffuser,424513.08,0,73.44,3.594,6.034
429,5,2012-10-26,Resistance band set,405432.7,0,74.66,3.506,6.034
430,2,2010-02-05,Ceramic plant pot with saucer,2135143.87,0,43.76,2.598,8.623
431,3,2010-02-12,Insulated lunch box,2188307.39,1,28.84,2.573,8.623
432,1,2010-02-19,Himalayan salt lamp,2049860.26,0,36.45,2.54,8.623
433,4,2010-02-26,Reusable silicone food storage bags,1925728.84,0,41.36,2.59,8.623
434,5,2010-03-05,Handwoven rattan basket,1971057.44,0,43.49,2.654,8.623
435,2,2010-03-12,Yoga mat with carrying strap,1894324.09,0,49.63,2.704,8.623
436,3,2010-03-19,Stainless steel french press coffee maker,1897429.36,0,55.19,2.743,8.623
437,2,2010-03-26,Memory foam travel neck pillow,1762539.3,0,39.91,2.752,8.623
438,1,2010-04-02,Glass meal prep containers set,1979247.12,0,48.77,2.74,7.896
439,4,2010-04-09,Vegan leather wallet,1818452.72,0,54.16,2.773,7.896
440,5,2010-04-16,LED desk lamp with USB charging port,1851519.69,0,56.23,2.81,7.896
441,2,2010-04-23,Blueberry scented candle,1802677.9,0,56.87,2.805,7.896
442,3,2010-04-30,Stainless steel water bottle,1817273.28,0,53.04,2.787,7.896
443,1,2010-05-07,Leather messenger bag,2000626.14,0,56.77,2.836,7.896
444,4,2010-05-14,Organic coconut oil,1875597.28,0,62.35,2.845,7.896
445,5,2010-05-21,Bluetooth wireless earbuds,1903752.6,0,67.4,2.82,7.896
446,2,2010-05-28,Floral patterned throw pillow,1857533.7,0,67.73,2.756,7.896
447,3,2010-06-04,Bamboo cutting board set,1903290.58,0,70.83,2.701,7.896
448,2,2010-06-11,Aromatherapy essential oil diffuser,1870619.23,0,78.45,2.668,7.896
449,1,2010-06-18,Resistance band set,1929736.35,0,81.53,2.635,7.896
450,4,2010-06-25,Ceramic plant pot with saucer,1846651.95,0,81.1,2.654,7.896
451,5,2010-07-02,Insulated lunch box,1881337.21,0,73.66,2.668,7.372
452,2,2010-07-09,Himalayan salt lamp,1812208.22,0,80.35,2.637,7.372
453,3,2010-07-16,Reusable silicone food storage bags,1898427.66,0,78.53,2.621,7.372
454,1,2010-07-23,Handwoven rattan basket,1848426.78,0,79.78,2.612,7.372
455,4,2010-07-30,Yoga mat with carrying strap,1796637.61,0,80.7,2.65,7.372
456,5,2010-08-06,Stainless steel french press coffee maker,1907638.58,0,76.53,2.64,7.372
457,2,2010-08-13,Memory foam travel neck pillow,2007050.75,0,78.08,2.698,7.372
458,3,2010-08-20,Glass meal prep containers set,1997181.09,0,78.83,2.671,7.372
459,2,2010-08-27,Vegan leather wallet,1848403.92,0,74.44,2.621,7.372
460,1,2010-09-03,LED desk lamp with USB charging port,1935857.58,0,76.8,2.584,7.372
461,4,2010-09-10,Blueberry scented candle,1865820.81,1,73.54,2.574,7.372
462,5,2010-09-17,Stainless steel water bottle,1899959.61,0,64.91,2.594,7.372
463,2,2010-09-24,Leather messenger bag,1810684.68,0,60.96,2.642,7.372
464,3,2010-10-01,Organic coconut oil,1842821.02,0,63.96,2.619,7.127
465,1,2010-10-08,Bluetooth wireless earbuds,1951494.85,0,67.73,2.645,7.127
466,4,2010-10-15,Floral patterned throw pillow,1867345.09,0,62.03,2.732,7.127
467,5,2010-10-22,Bamboo cutting board set,1927610.06,0,64.17,2.736,7.127
468,2,2010-10-29,Aromatherapy essential oil diffuser,1933333.0,0,56.94,2.718,7.127
469,3,2010-11-05,Resistance band set,2013115.79,0,51.6,2.699,7.127
470,2,2010-11-12,Ceramic plant pot with saucer,1999794.26,0,52.65,2.741,7.127
471,1,2010-11-19,Insulated lunch box,2097809.4,0,48.05,2.78,7.127
472,4,2010-11-26,Himalayan salt lamp,2789469.45,1,48.08,2.752,7.127
473,5,2010-12-03,Reusable silicone food storage bags,2102530.17,0,46.4,2.727,7.127
474,2,2010-12-10,Handwoven rattan basket,2302504.86,0,42.4,2.86,7.127
475,3,2010-12-17,Yoga mat with carrying strap,2740057.14,0,46.57,2.884,7.127
476,1,2010-12-24,Stainless steel french press coffee maker,3526713.39,0,43.21,2.887,7.127
477,4,2010-12-31,Memory foam travel neck pillow,1794868.74,1,38.09,2.955,7.127
478,5,2011-01-07,Glass meal prep containers set,1862476.27,0,39.34,2.98,6.51
479,2,2011-01-14,Vegan leather wallet,1865502.46,0,31.6,2.992,6.51
480,3,2011-01-21,LED desk lamp with USB charging port,1886393.94,0,38.34,3.017,6.51
481,2,2011-01-28,Blueberry scented candle,1814240.85,0,40.6,3.022,6.51
482,1,2011-02-04,Stainless steel water bottle,2119086.04,0,34.61,2.996,6.51
483,4,2011-02-11,Leather messenger bag,2187847.29,1,33.29,3.033,6.51
484,5,2011-02-18,Organic coconut oil,2316495.56,0,48.17,3.058,6.51
485,2,2011-02-25,Bluetooth wireless earbuds,2078094.69,0,49.0,3.087,6.51
486,3,2011-03-04,Floral patterned throw pillow,2103455.75,0,46.56,3.305,6.51
487,1,2011-03-11,Bamboo cutting board set,2039818.41,0,50.93,3.461,6.51
488,4,2011-03-18,Aromatherapy essential oil diffuser,2116475.38,0,51.86,3.495,6.51
489,5,2011-03-25,Resistance band set,1944164.32,0,59.1,3.48,6.51
490,2,2011-04-01,Ceramic plant pot with saucer,1900246.47,0,56.99,3.521,5.946
491,3,2011-04-08,Insulated lunch box,2074953.46,0,62.61,3.605,5.946
492,2,2011-04-15,Himalayan salt lamp,1960587.76,0,62.34,3.724,5.946
493,1,2011-04-22,Reusable silicone food storage bags,2220600.76,0,68.8,3.781,5.946
494,4,2011-04-29,Handwoven rattan basket,1878167.44,0,64.22,3.781,5.946
495,5,2011-05-06,Yoga mat with carrying strap,2063682.76,0,63.41,3.866,5.946
496,2,2011-05-13,Stainless steel french press coffee maker,2002362.37,0,70.65,3.872,5.946
497,3,2011-05-20,Memory foam travel neck pillow,2015563.48,0,70.49,3.881,5.946
498,1,2011-05-27,Glass meal prep containers set,1986597.95,0,73.65,3.771,5.946
499,4,2011-06-03,Vegan leather wallet,2065377.15,0,78.26,3.683,5.946
